UniqueID,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
114,22,Spotify,2,1,1,0,Rock,1,1,98,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8,6,0,0,Improve,I understand.
115,19,Spotify,8,1,0,0,K pop,1,1,100,Very frequently,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,4,3,0,0,Improve,I understand.
116,23,Spotify,4,1,0,0,Hip hop,1,1,78,Rarely,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,7,6,7,5,Improve,I understand.
117,23,Spotify,2,0,1,0,Metal,0,1,117,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,7,3,2,3,Improve,I understand.
118,22,Spotify,1,0,0,1,EDM,1,0,128,Never,Never,Very frequently,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Sometimes,Sometimes,Never,2,7,5,0,Improve,I understand.
119,17,Spotify,3,1,0,0,Rock,1,0,130,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Very frequently,Very frequently,Sometimes,Very frequently,Sometimes,7,8,6,5,Improve,I understand.
120,28,Spotify,0.5,0,0,0,Folk,1,0,130,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,4,7,1,0,Improve,I understand.
121,23,Spotify,2,0,0,0,Rock,1,1,,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Sometimes,7,8,5,1,0 effect,I understand.
122,19,Apple Music,3,1,0,0,Rock,1,1,126,Never,Sometimes,Sometimes,Never,Never,Very frequently,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Very frequently,Sometimes,5,2,8,6,Improve,I understand.
123,17,Spotify,2,1,1,1,Hip hop,1,1,122,Rarely,Never,Sometimes,Sometimes,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Very frequently,Never,10,7,4,2,Improve,I understand.
124,21,YouTube Music,1,0,0,0,Rock,1,0,179,Never,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Very frequently,Rarely,6,5,0,0,0 effect,I understand.
125,29,Other streaming service,5,1,0,0,Jazz,1,1,200,Rarely,Never,Never,Rarely,Never,Never,Very frequently,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Very frequently,Sometimes,7,2,3,1,Improve,I understand.
126,22,Spotify,10,0,1,1,EDM,0,1,128,Sometimes,Sometimes,Very frequently,Very frequently,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Sometimes,Sometimes,4,7,7,3,Improve,I understand.
127,18,Spotify,4,1,1,1,Pop,1,1,130,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Rarely,Rarely,Very frequently,Very frequently,4,5,6,5,Improve,I understand.
128,13,Spotify,2,1,1,1,Rock,1,0,120,Rarely,Never,Sometimes,Very frequently,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,7,10,5,6,Worsen,I understand.
129,24,Spotify,1,0,0,0,Metal,1,0,86,Sometimes,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,6,4,5,0,Improve,I understand.
130,35,Spotify,6,1,0,0,Rock,1,1,166,Sometimes,Rarely,Sometimes,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,4,1,3,1,0 effect,I understand.
131,29,YouTube Music,1,1,1,0,Video game music,1,0,110,Sometimes,Never,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,6,6,1,2,Improve,I understand.
132,28,Spotify,6,1,0,0,Rock,0,0,144,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,Very frequently,10,8,7,1,Improve,I understand.
133,32,Spotify,7,1,0,0,Pop,1,1,120,Sometimes,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,10,8,2,8,Improve,I understand.
134,32,Other streaming service,1,0,0,0,EDM,1,0,120,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Never,3,6,2,0,0 effect,I understand.
135,21,Spotify,3,1,1,0,Rock,1,0,160,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,8,9,2,0,Improve,I understand.
136,18,Spotify,2,1,1,0,Video game music,0,1,101,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Sometimes,Very frequently,8,3,8,7,Improve,I understand.
137,19,Spotify,3,1,1,0,Classical,1,0,122,Very frequently,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Very frequently,Never,Never,Rarely,Sometimes,3,3,1,2,Improve,I understand.
138,18,Apple Music,2,1,1,0,Pop,1,1,,Rarely,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Never,6,5,2,0,Improve,I understand.
139,16,YouTube Music,3,1,0,1,Pop,0,0,,Rarely,Sometimes,Sometimes,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Very frequently,Never,Rarely,Very frequently,Rarely,0,0,4,0,0 effect,I understand.
140,25,Spotify,1.5,1,0,0,Pop,0,0,61,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Never,6,5,0,2,Improve,I understand.
141,17,Spotify,4,1,0,0,Lofi,1,1,79,Very frequently,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Never,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,3,8,0,0,Improve,I understand.
142,16,Spotify,2,1,0,0,Rap,1,1,126,Very frequently,Never,Never,Never,Never,Very frequently,Never,Sometimes,Never,Rarely,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,1,8,0,0,0 effect,I understand.
143,27,Spotify,10,1,0,0,Metal,1,1,185,Sometimes,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Rarely,5,6,6,3,Improve,I understand.
144,53,Spotify,7,1,0,0,Pop,1,1,92,Very frequently,Sometimes,Very frequently,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Rarely,0,0,0,0,Improve,I understand.
145,25,Spotify,1,1,0,0,EDM,0,0,107,Never,Never,Very frequently,Never,Never,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Rarely,0,8,0,0,Improve,I understand.
146,34,Spotify,2,0,0,0,Metal,0,0,120,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Never,3,7,0,0,Improve,I understand.
147,22,Other streaming service,6,1,1,1,Jazz,1,1,140,Sometimes,Rarely,Very frequently,Very frequently,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,8,8,8,5,Improve,I understand.
148,17,Spotify,2,1,1,1,Jazz,1,0,94,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,5,2,3,4,Improve,I understand.
149,26,Spotify,3,1,1,0,Folk,1,0,160,Rarely,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,8,8,3,0,Improve,I understand.
150,19,Spotify,8,1,0,0,EDM,1,0,174,Never,Never,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,6,8,8,0,Improve,I understand.
151,21,Spotify,3,1,0,0,Pop,1,1,136,Rarely,Very frequently,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,6,8,6,0,Worsen,I understand.
152,32,Spotify,3,1,1,1,Rock,1,1,144,Rarely,Rarely,Sometimes,Very frequently,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Rarely,6,6,7,5,Improve,I understand.
153,21,I dont use a streaming service.,3,1,0,0,Rock,0,0,77,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Very frequently,Very frequently,9,10,3,0,0 effect,I understand.
154,25,Spotify,2,0,1,0,Pop,0,0,120,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Sometimes,Very frequently,Very frequently,Rarely,7,7,5,0,Improve,I understand.
155,26,Spotify,1,0,0,0,Rock,0,0,,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,10,7,2,8,0 effect,I understand.
156,21,Spotify,2,1,1,0,Metal,1,1,,Rarely,Never,Never,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,1,3,0,6,0 effect,I understand.
157,17,Spotify,2,1,1,0,Pop,0,1,,Rarely,Never,Never,Never,Never,Rarely,Very frequently,Very frequently,Never,Very frequently,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,5,3,2,1,Improve,I understand.
158,28,I dont use a streaming service.,4,1,0,0,Rock,1,1,194,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,6,8,1,6,Improve,I understand.
159,41,YouTube Music,4,1,0,0,Pop,1,0,60,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,7,2,0,7,Improve,I understand.
160,18,Spotify,1,1,1,0,Metal,1,1,190,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Sometimes,6,9,9,0,Improve,I understand.
161,22,Spotify,2,0,0,0,R&B,0,1,87,Sometimes,Never,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,1,1,4,1,0 effect,I understand.
162,18,Other streaming service,2,1,0,0,K pop,0,1,122,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,0,2,0,0,,I understand.
163,49,Other streaming service,1,1,0,0,EDM,1,0,156,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,8,8,2,0,Improve,I understand.
164,21,Spotify,3,1,1,1,Metal,1,0,150,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,3,3,7,0,0 effect,I understand.
165,27,Spotify,10,1,0,0,Metal,1,1,194,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8,8,3,0,Improve,I understand.
166,19,Spotify,1,0,0,1,Metal,1,1,160,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,6,4,0,3,0 effect,I understand.
167,27,Spotify,3,1,0,0,Metal,1,1,171,Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Very frequently,Never,Rarely,Sometimes,Sometimes,Rarely,1,0,0,0,Improve,I understand.
168,27,Spotify,1.5,1,0,0,Rock,0,0,95,Never,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Sometimes,Very frequently,Sometimes,5,5,4,4,Improve,I understand.
169,19,Spotify,3,1,1,0,K pop,1,1,114,Sometimes,Never,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,8,9,6,0,,I understand.
170,42,YouTube Music,2.5,1,1,0,Rock,0,1,148,Sometimes,Rarely,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,8,8,7,6,Improve,I understand.
171,60,Pandora,2,1,0,0,Gospel,0,0,119,Rarely,Sometimes,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,3,0,2,0,Improve,I understand.
172,19,YouTube Music,5,1,0,0,Metal,0,1,136,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Very frequently,Very frequently,Never,Never,Sometimes,Very frequently,Sometimes,0,5,1,0,0 effect,I understand.
173,20,Apple Music,2,1,0,0,Pop,1,0,141,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,6,3,0,0,Improve,I understand.
174,28,Spotify,2,0,0,1,Metal,0,0,146,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Rarely,1,7,5,1,Improve,I understand.
175,16,I dont use a streaming service.,2,0,1,1,Video game music,1,0,,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,4,2,1,1,0 effect,I understand.
176,18,Spotify,2,1,0,0,R&B,0,1,164,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Rarely,Never,Never,5,6,0,1,0 effect,I understand.
177,34,Spotify,1,1,0,0,Rock,1,1,,Rarely,Never,Very frequently,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Rarely,Never,Never,Very frequently,Very frequently,1,0,0,0,0 effect,I understand.
178,18,YouTube Music,1.5,1,0,0,Pop,1,0,,Never,Rarely,Rarely,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,8,6,5,2,Improve,I understand.
179,21,Spotify,5,1,1,1,Folk,1,1,128,Sometimes,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,9,4,0,3,Improve,I understand.
180,38,Spotify,0.5,0,0,0,Rock,1,1,,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Very frequently,Never,4,6,6,4,Improve,I understand.
181,17,Spotify,2,1,0,0,Rock,0,1,,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Very frequently,Very frequently,7,3,1,5,Improve,I understand.
182,35,Other streaming service,0.5,0,0,0,Pop,0,0,,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Never,Sometimes,Rarely,10,3,1,0,0 effect,I understand.
183,21,I dont use a streaming service.,2,1,0,0,Rock,0,1,101,Rarely,Sometimes,Rarely,Sometimes,Never,Very frequently,Rarely,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Rarely,8,8,3,0,Improve,I understand.
184,25,Apple Music,2.5,1,0,0,R&B,0,0,,Rarely,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,7,6,5,4,Improve,I understand.
185,18,Spotify,2,1,1,0,K pop,1,1,98,Very frequently,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,7,2,3,5,Improve,I understand.
186,16,Apple Music,2,0,0,0,Pop,1,0,145,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,Very frequently,Rarely,Rarely,Very frequently,Rarely,10,3.5,5,10,Improve,I understand.
187,19,Spotify,1,1,0,0,Pop,1,1,94,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Never,7,5,1,2,Improve,I understand.
188,31,Spotify,4,1,1,0,Classical,0,1,103,Very frequently,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,6,8,9,5,Improve,I understand.
189,26,Spotify,5,1,0,0,Rock,0,0,,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Very frequently,Never,2,9,2,1,0 effect,I understand.
190,16,Spotify,2,1,1,1,Rock,0,0,112,Rarely,Never,Very frequently,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,7,4,10,2,Improve,I understand.
191,26,Spotify,2,1,1,0,Rock,1,1,,Very frequently,Rarely,Rarely,Very frequently,Never,Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Very frequently,Very frequently,7,5,6,0,Improve,I understand.
192,17,Spotify,2,1,0,0,R&B,1,1,118,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Very frequently,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,6,1,0,0,Improve,I understand.
193,22,Spotify,1,1,1,0,Video game music,1,1,,Sometimes,Sometimes,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Never,Very frequently,Very frequently,3,6,1,1,Improve,I understand.
194,20,Apple Music,4,1,0,0,R&B,1,1,113,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,9,10,3,0,Improve,I understand.
195,30,Spotify,1,0,1,0,Rock,1,0,162,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,8,5,8,9,Improve,I understand.
196,26,Other streaming service,4,1,0,0,Pop,0,0,,Rarely,Very frequently,Rarely,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Sometimes,Never,8,7,7,3,Improve,I understand.
197,19,Spotify,5,1,0,0,Rock,1,1,111,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,9,9,9,3,0 effect,I understand.
198,21,,5,1,0,0,Country,1,0,85,Never,Very frequently,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,9,8,9,7,Improve,I understand.
199,33,Spotify,7,1,0,0,Rock,1,1,134,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,9,3,7,8,Improve,I understand.
200,28,YouTube Music,2,1,0,0,Rock,1,0,172,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Rarely,10,8,6,2,Improve,I understand.
201,25,Spotify,3,1,0,0,Rock,1,1,180,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,9,6,3,0,Improve,I understand.
202,22,YouTube Music,2,1,0,0,Pop,0,0,120,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Very frequently,Rarely,Rarely,Sometimes,Sometimes,7,7,8,3,Improve,I understand.
203,19,Spotify,3,1,0,1,Rock,1,1,76,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Very frequently,Rarely,9,10,4,0,Improve,I understand.
204,44,Other streaming service,3,1,0,0,Folk,1,1,130,Rarely,Rarely,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,9,9,8,2,Improve,I understand.
205,22,Spotify,3,1,0,0,Rock,0,0,,Never,Rarely,Never,Very frequently,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Rarely,9,10,3,9,Improve,I understand.
206,26,Spotify,5,1,1,1,Metal,1,1,109,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,10,9,8,8,Improve,I understand.
207,23,I dont use a streaming service.,6,1,0,1,Classical,0,1,96,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,6,5,6,8,Improve,I understand.
208,17,Spotify,2,0,0,0,R&B,0,1,148,Sometimes,Never,Rarely,Never,Never,Very frequently,Rarely,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Rarely,8,6,10,3,Improve,I understand.
209,42,YouTube Music,2,0,0,0,Metal,1,0,,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,8,3,6,4,Improve,I understand.
210,30,Spotify,1,0,1,0,Rock,1,0,129,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,4,2,1,3,Improve,I understand.
211,35,Spotify,1,1,0,0,Pop,1,1,81,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,2,1,1,1,0 effect,I understand.
212,20,Spotify,3,0,0,0,Rock,1,0,136,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Rarely,10,10,7,3,Improve,I understand.
213,18,Spotify,3,1,0,0,Rap,1,1,155,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,8,9,0,0,Improve,I understand.
214,21,Spotify,1,0,0,0,Pop,0,1,,Never,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Rarely,4,9,6,2,0 effect,I understand.
215,19,Spotify,6,1,0,0,Rock,1,1,52,Never,Never,Rarely,Very frequently,Never,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,4,2,0,0,Improve,I understand.
216,37,Spotify,4,1,0,0,Rock,1,0,97,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Never,9,2,7,7,Improve,I understand.
217,31,Spotify,2,1,0,0,Metal,1,1,92,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,8,6,7,5,Improve,I understand.
218,29,Spotify,2,1,1,0,Folk,1,1,100,Never,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Rarely,6,5,4,2,Improve,I understand.
219,20,Spotify,3,1,0,0,Rock,1,1,120,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,8,5,2,3,Improve,I understand.
220,36,I dont use a streaming service.,8,1,1,1,Video game music,0,1,143,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Very frequently,7,6,6,1,0 effect,I understand.
221,18,Spotify,3,1,1,0,Rock,1,0,118,Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Very frequently,Rarely,10,2,0,0,Improve,I understand.
222,18,Spotify,2,1,0,0,K pop,1,1,130,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,6,0,0,0,Improve,I understand.
223,25,Spotify,7,1,0,0,Pop,0,1,120,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,2,0,1,0,Improve,I understand.
224,18,YouTube Music,12,1,,0,K pop,1,1,126,Never,Never,Never,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,3,7,5,2,Improve,I understand.
225,31,YouTube Music,9,1,0,0,Pop,1,1,158,Rarely,Rarely,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Very frequently,Never,Rarely,Sometimes,Sometimes,9,0,2,0,Improve,I understand.
226,17,Spotify,2,1,0,0,Pop,1,1,160,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Never,5,4,1,1,Improve,I understand.
227,21,Spotify,1,1,0,0,Folk,0,1,,Never,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Very frequently,8,4,0,1,Improve,I understand.
